Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
CP0953SE01/05/10 SEWRP Process Improvements - Brown and Caldwell Design Contract,CT-F165-23000033,Approved,Design Professional Services Contract,CNV117684,CT,102 - Design,San Francisco,F165,831922,0,0,831922,08/15/2022 00:00:00,08/15/2022 00:00:00,600,601,CA,,"SEWRP E&amp;IC Upgrades and Replacement, SEWRP E&amp;IC Upgrades and Replacement - FUNDING ONLY, SEWRP Improvements SE05, SEWRP Improvements SE05 - FUNDING ONLY, SEWRP Process Improvements (SE01), SEWRP Process Improvements (SE01) - FUNDING ONLY",Professional Service,NA,0,,
Master On-Call RENEWAL: General Engineering - Jacobs,MA-F165-15000168R1,Closed,Design Professional Master Contract,CNV42064,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0359 Remote Facilities Flowmeter Replacements Felix Construction,DO-F165-16002178,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,240481.33,0,0,240481.33,09/21/2015 00:00:00,09/10/2015 00:00:00,139,204,AZ,MA-F165-14000500R1,Remote Facilities Flowmeter Replacements,Construction,Job Order Contracting (JOC),240481.33,08/27/2015 00:00:00,
"C01600 Signal Butte WTP Cost Estimating Services Marc Taylor, Inc.",DO-F165-16007103,Closed,Project Order,CNV121614,DO,102 - Design,Phoenix,F165,145000,0,0,145000,,03/16/2016 00:00:00,,0,AZ,MA-F165-16000211,Signal Butte Water Treatment Plant,Professional Service,,145000,,
JOC-L15 Renewal1 - Job Order Landscaping Services Earthscapes,MA-F165-16000388R1,Approved,Job Order Master,VS0000008720,MA,104 - Construction,Phoenix,F165,5000000,934665.7,0,4065334.3,04/28/2017 00:00:00,04/28/2017 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0941 Palo Verde Park Playground Improvements - CR Engineers,CT-F165-21000045,Approved,Design Professional Services Contract,VS0000001080,CT,102 - Design,Fountain Hills,F165,9954,0,0,9954,12/21/2020 00:00:00,12/21/2020 00:00:00,70,71,AZ,,"Palo Verde Park Playground Improvements, Palo Verde Park Playground Improvements - FUNDING ONLY",Professional Service,NA,0,,
Master On-call Soils and Material Testing - Ninyo & Moore,MA-F165-17000186,Closed,Design Professional Master Contract,VS0000005967,MA,104 - Construction,San Diego,F165,250000,0,0,250000,01/15/2017 00:00:00,01/15/2017 00:00:00,364,365,CA,,,Professional Service,NA,0,,
C07044 FALCON FIELD AIRPORT RUNWAY 4L-22R BLAST PADS ADOT GRANT NO. E6S1R AJP,CT-F165-17000082,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV169005,CT,118 - Grant - Construction,Phoenix,F165,205668.11,0,0,205668.11,11/01/2016 00:00:00,08/29/2016 00:00:00,60,61,AZ,,Blast Pads for Runway 4L-22R - Construction,Construction,Design Bid Build (DBB),0,,
Workflow Test Contract,DO-F165-TEST032520,Estimate,Job Order,ALL STAR SPORTS LLC,DO,,Acworth,F165,0,0,0,0,,,0,0,GA,MA-F165-TEST456,Test Various Workflow Phase II,Construction,Job Order Contracting (JOC),0,,
CP0558 10th and Sirrine Drainage Improvements Talis Job Order,DO-F165-16009632,Approved,Job Order,CNV570044,DO,118 - Grant - Construction,Tempe,F165,264779.77,0,0,264779.77,05/24/2016 00:00:00,,45,0,AZ,MA-F165-13000770Y4,"10th Ave and Sirrine, 10th Ave and Sirrine Grant",Construction,Job Order Contracting (JOC),270034.76,,
CP0532CNTR Center Street Sidewalk Improvements TALIS,DO-F165-18004457,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,317388.81,0,0,317388.81,,12/12/2017 00:00:00,131,0,AZ,MA-F165-16000375R1,"Center St. Sidewalk Improvements (Ingram St. to McKellips Rd.), Center St. Sidewalk Improvements (Ingram to McKellips) - FUNDING ONLY",Construction,Job Order Contracting (JOC),317388.81,,
CP0123CAP Medina & Hawes Development,DO-F165-15001020,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,709276.2,0,0,709276.2,,,,0,AZ,MA-F165-14000392R1,Medina &amp; Hawes Development,Construction,Job Order Contracting (JOC),709276.2,,
CP0806 Lighting Enhancements 1353-1705 E. Main Street BF,DO-F165-18004452,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,81082.69,0,0,81082.69,12/11/2017 00:00:00,12/07/2017 00:00:00,30,31,AZ,MA-F165-16000376R1,"Decorative Lighting EVIT, Decorative Lighting EVIT-FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
JOC-U22 Job Order Master Agreement HUNTER General Utility,MA-F165-23000021,Approved,Job Order Master,CNV318752,MA,104 - Construction,Gilbert,F165,10000000,2290253.71,0,7709746.29,06/30/2022 00:00:00,06/30/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
2020-2023 Construction Administration and Inspection Services On-Call 1-year Renewal-Entellus,MA-F165-21000175R1,Approved,Design Professional Master Contract,CNV211745,MA,,Phoenix,F165,250000,0,0,250000,03/02/2022 00:00:00,03/02/2022 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
Master On-Call Architectural Services 2020 - GH2,MA-F165-21000159,Approved,Design Professional Master Contract,VS0000011617,MA,,Tulsa,F165,1000000,6224,0,993776,,12/23/2020 00:00:00,0,0,OK,,,Professional Service,NA,0,,
Aztec Engineering Potholing On-Call Master Agreement - 2nd Year,MA-F165-21000138R2,Approved,Design Professional Master Contract,VS0000001831,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,11/10/2022 00:00:00,11/10/2022 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
LF0281B06B Residential Street Overlays B06B Nesbitt Contracting Job Order,DO-F165-20007794,Approved,Job Order,CNV462756,DO,104 - Construction,Tempe,F165,1422153.56,0,0,1422153.56,04/15/2020 00:00:00,04/08/2020 00:00:00,180,181,AZ,MA-F165-19003185,"Overlay Residential Street B06B - FUNDING ONLY, Overlay Residential Street B06B (University/Dobson)",Construction,Job Order Contracting (JOC),1425809.34,,
"LF0445CAP Council and Old ITD Buildings Exterior Column Repair Gervasio & Associates, Inc. Professional Services Contract",CT-F165-21000041,Approved,Design Professional Services Contract,CNV235725,CT,120 - Direct Expenses,Phoenix,F165,28600,0,0,28600,09/23/2020 00:00:00,09/23/2020 00:00:00,170,171,AZ,,"Council and Old ITD Buildings Exterior Column Repairs, Council Building Structural Evaluation - FUNDING ONLY",Professional Service,NA,0,,
CP1057 FS204/211 Security Upgrades - CORE Construction,DO-F165-21007499,Approved,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,377202.95,0,0,377202.95,05/17/2021 00:00:00,05/04/2021 00:00:00,150,151,AZ,MA-F165-19003214R1,"Fire Station 204 &amp; 211 Security and Lighting Upgrades, Fire Station 204 &amp; 211 Security and Lighting Upgrades - FUNDING ONLY",Construction,Job Order Contracting (JOC),375284,,
Master On-Call: Wastewater Facilities - Sunrise Engineering,MA-F165-15000143,Closed,Design Professional Master Contract,CNV23329,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
Master On-Call 2018 Renewal 1:  Electric UTILITY T&D Engineering Design - Vanderweil,MA-F165-19000175R1,Approved,Design Professional Master Contract,VS0000004891,MA,102 - Design,Boston,F165,1000000,0,0,1000000,01/08/2020 00:00:00,,0,0,MA,,,Professional Service,NA,0,,
CP0038CAP Broadway Road Sewer Line Fishel Company,CT-F165-14000183,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV120499,CT,104 - Construction,Columbus,F165,1580833.34,0,0,1580833.34,06/18/2014 00:00:00,,180,0,OH,,Broadway Rd Sewer Line Replace Horne to Williams-CAP,Construction,Design Bid Build (DBB),0,,
CP0349CAP Odor Control Master Plan,DO-F165-15003678,Approved,Project Order,CNV117684,DO,,San Francisco,F165,221372,0,0,221372,,,,0,CA,MA-F165-15000132,Odor Control Master Plan,Professional Service,,181187.28,,
CP0488RMMG Red Mountain Center Restroom Renovations,DO-F165-16006148,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F920,55856,0,0,55856,,,,0,AZ,MA-F165-15000246R1,Red Mountain Multi-Gen Center Restroom Renovation,Professional Service,,40551,,
Eagles Park Master Plan Validation CP0211 J2 Engineering & Environmental Design,CT-F165-17000075,Approved,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,94834,0,0,94834,,,0,0,AZ,,Mesa JH Conversion Project Phase 1,Professional Service,NA,0,,
LF0383 Re-Roof Buildings 2 and 3 at 708 E. Baseline - HDA Architects,CT-F165-20000081,Approved,Design Professional Services Contract,VS0000003290,CT,102 - Design,Gilbert,F165,26773,0,0,26773,02/12/2020 00:00:00,02/12/2020 00:00:00,90,91,AZ,,"708 W Baseline Roof Replacement Building 2 &amp; 3 - FUNDING ONLY, 708 W Baseline Roof Replacement Building 2 &amp; 3 (SO)",Professional Service,NA,0,,
Master On-Call 2016: Electrical Engineering GENERAL Design - Bridgers & Paxton,MA-F165-17000156,Closed,Design Professional Master Contract,VS0000001802,MA,102 - Design,Albuquerque,F165,1000000,0,8800,991200,,,0,0,NM,,,Professional Service,NA,0,,
14000067,MA-F165-14000067,Approved,Design Professional Master Contract,CNV692883,MA,,Phoenix,F165,1000000,0,0,1000000,07/19/2013 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0120CAP McKellips & Ellsworth Park Development,CT-F165-14000190,Closed,CMAR Pre-Construction Services Contract,CNV527408,CT,102 - Design,Phoenix,F165,24556,0,0,24556,06/16/2014 00:00:00,,126,0,AZ,,McKellips &amp; Ellsworth Park Development,Construction,Construction Manager at Risk (CMAR),0,,
CP0716VID - Sloan Park Video Board Upgrades - Haydon JOC,DO-F165-23002777,Approved,Job Order,CNV527408,DO,104 - Construction,Phoenix,F165,385643,0,0,385643,10/31/2022 00:00:00,10/31/2022 00:00:00,60,61,AZ,MA-F165-23000052,"Sloan Park Video Board Upgrades, Sloan Park Video Board Upgrades_FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
CP0455CAP Police Evidence Freezer Master Plan Consultant Contract,CT-F165-15000007,Closed,Design Professional Services Contract,VS0000004648,CT,102 - Design,Phoenix,F165,48020,0,0,48020,07/14/2014 00:00:00,07/14/2014 00:00:00,120,0,AZ,,Police Evidence Freezer - Master Plan,Professional Service,,0,,
CP0956SR02 SEWRP-GWRP Sludge Line Rehab - Brown & Caldwell Project Order,DO-F165-22001039,Approved,Project Order,CNV117684,DO,102 - Design,San Francisco,F165,137196,0,0,137196,08/19/2021 00:00:00,08/19/2021 00:00:00,165,166,CA,MA-F165-21000089,"SEWRP-GWRP Sludge Line Cleaning and Inspection - FUNDING ONLY, SEWRP-GWRP Sludge Line Rehab ""SO""",Professional Service,NA,137196,,
CP0408CAP Falcon Field Airport Sweeper Wash Pad Installation Talis,DO-F165-16002463,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,25523.68,0,0,25523.68,11/02/2015 00:00:00,,30,31,AZ,MA-F165-13000770Y3,Operations Sweeper Maintenance Facility,Construction,Job Order Contracting (JOC),25523.68,,
"CP0634BR19 Brown Road WTP Fiber Loop, PLC and MCC Jensen Project Order",DO-F165-21004448,Approved,Project Order,CNV385395,DO,102 - Design,Cave Creek,F165,175890,0,0,175890,01/04/2021 00:00:00,01/04/2021 00:00:00,315,316,AZ,MA-F165-21000144,"BRWTP City &amp; SCADA Fiber Loops, PLC &amp; MCCs, BRWTP City &amp; SCADA Fiber Loops, PLC &amp; MCCs - FUNDING ONLY",Professional Service,NA,171270,,
Master On-Call WWW Plant Services - Black & Veatch,MA-F165-21000088,Approved,Design Professional Master Contract,CNV596655,MA,,Kansas City,F165,1000000,176962,0,823038,,10/15/2020 00:00:00,0,0,MO,,,Professional Service,NA,0,,
CP0832WR02 Brooks Inspection Pits and Access Manholes - Garney Construction,DO-F165-21005750,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,700444.98,0,0,700444.98,03/08/2021 00:00:00,03/03/2021 00:00:00,90,91,MO,MA-F165-19003238R1,"Brooks Inspection Pits and Access Manholes, Water Transmission Main Inspection Pits and Access Manholes - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
General Buidling Job Order Contract Master: CORE JOC-G22,MA-F165-22000305,Approved,Job Order Master,VS0000002305,MA,104 - Construction,Phoenix,F165,5000000,0,0,5000000,06/28/2022 00:00:00,06/28/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
Master On-Call 2018 Mechanical Engineering: ESD,MA-F165-19000038,Closed,Design Professional Master Contract,VS0000001771,MA,102 - Design,Scottsdale,F165,1000000,5970,0,994030,10/23/2018 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
Master On-Call 2020-2023 General Engineering - PEC,MA-F165-21000033,Approved,Design Professional Master Contract,CNV578495,MA,,Phoenix,F165,1000000,0,0,1000000,,08/17/2020 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
Re-Coat Fire Protection Reservoirs at Phx/Mesa Airport,DO-F165-15009636,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,290034.87,0,0,290034.87,,,,0,AZ,MA-F165-15000199,Re-Coat Fire Protection Reservoirs at Phx/Mesa Airport,Construction,Job Order Contracting (JOC),290034.87,,
Soils and Materials Testing On-Call Master Agreement - Wood Environmental and Eng - Renewal Year 1,MA-F165-21000169R1,Approved,Design Professional Master Contract,CNV339393,MA,102 - Design,Chicago,F165,0,0,0,0,01/22/2022 00:00:00,01/22/2022 00:00:00,365,366,IL,,,Professional Service,NA,0,,
JOC-T15 Job Order Master Agreement J. Banicki,MA-F165-16000374,Approved,Job Order Master,CNV349526,MA,104 - Construction,Tempe,F165,10000000,1076829.75,0,8923170.25,04/28/2016 00:00:00,04/28/2016 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0994 Crossover Taxiways - Jviation Project Order,DO-F165-23002683,Approved,Project Order,CNV106542,DO,102 - Design,Cincinnati,F165,291265.75,0,0,291265.75,10/19/2022 00:00:00,10/19/2022 00:00:00,150,151,OH,MA-F165-23000053,"Design Midfield Crossover Taxiways + Txwy D3, D4, D7 &amp; D8, Design Midfield Crossover Taxiways + Txwy D3, D4, D7 &amp; D8 - FUNDING ONLY",Professional Service,NA,0,,
"C10391PRV4 Pressure Reducing Valve (PRV) Station Nos 6, 9, 10, 17 & 29",DO-F165-16007336,Approved,Project Order,VS0000001802,DO,102 - Design,Albuquerque,F165,34108,0,0,34108,,03/07/2016 00:00:00,325,0,NM,MA-F165-15000205R1,"PRV Replace - 5, 6, 17, 29 &amp; PRV 9, 10 w/ Watermain Connection Improvements, PRV Stn Replacements - Aging - Funding Only",Professional Service,,31833.5,,
CP0556  ROYAL PALMS DRAINAGE / Cardno,CT-F165-19001207,Closed,Design Professional Services Contract,VS0000003217,CT,102 - Design,Dallas,F165,12230,0,0,12230,05/21/2019 00:00:00,05/21/2019 00:00:00,90,91,TX,,"Royal Palms - Drainage PH 02 - FUNDING ONLY, Royal Palms Drainage Project - PHASE 02 ""SO""",Professional Service,NA,0,,
S884 Eastmark Phase XIII The Great Park Phase 3 Improvements,S884,Estimate,In House Construction – No Contract,CNV125504,CT,102 - Design,Scottsdale,F165,0,0,0,0,,,0,0,AZ,,EASTMARK COMMUNITY FACILITIES DISTRICT NO. 1 - PHASE XIII THE GREAT PARK PHASE 3 IMPROVEMENTS,Construction,NA,0,,
LF0281E08A Residential Street Overlays E08A Talis Job Order,DO-F165-21009257,Approved,Job Order,CNV570044,DO,120 - Direct Expenses,Mesa,F165,1220765.3,0,0,1220765.3,08/09/2021 00:00:00,07/22/2021 00:00:00,90,91,AZ,MA-F165-19003186R2,"Overlay Residential Streets E08A, Overlay Residential Streets E08A - FUNDING ONLY",Construction,Job Order Contracting (JOC),1220765.3,,
CP0985VCC Fire Station 206 Volunteer Center Conversion SDB Contracting Services/JOC,DO-F165-22002678,Approved,Job Order,CNV673366,DO,104 - Construction,Tempe,F165,640375.09,0,0,640375.09,10/25/2021 00:00:00,10/18/2021 00:00:00,230,257,AZ,MA-F165-19003215R2,"FS 206 Volunteer Center Conversion, FS 206 Volunteer Center Conversion - FUNDING ONLY",Construction,Job Order Contracting (JOC),640375.09,,
Master On-Call 2016 RENEWAL: Transportation - Lee Engineering,MA-F165-17000122R1,Approved,Design Professional Master Contract,VC0000013423,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/13/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP04680001 Commercial Water Meter Assembly Rehabilitations Phase 11B DBB / Hardison/Downey Construction Inc,CT-F165-20000068,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000011658,CT,104 - Construction,Phoenix,F165,671328.61,0,0,671328.61,12/04/2019 00:00:00,11/26/2019 00:00:00,257,297,AZ,,"Water Meter Vault Rehab - Phase 11B, Water Meter Vault Rehab Phase 11B - FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
CP0834Q017 Water Main Replacements – CORROSIVITY STUDY ACS Services LLC Project Order,DO-F165-23003034,Estimate,Project Order,CNV130575,DO,102 - Design,Mesa,F165,21109.24,0,0,21109.24,,,0,0,AZ,MA-F165-21000167R1,"Water Main Replacements – QS 44B &amp; 44D, Water Main Replacements: QS 44B &amp; 44D - FUNDING ONLY",Professional Service,NA,0,,
CP04640026 Asphalt Repairs 98th Place and Coralbell Talis Job Order,DO-F165-19003152,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,20543.16,0,0,20543.16,,10/18/2018 00:00:00,30,0,AZ,MA-F165-16000375R2,"Broadway and 98th Place - Water and Sewer Improvements (QS 126C), Water System Aging Main Rehab and Repair - Broadway and 98th - FUNDING ONLY",Construction,Job Order Contracting (JOC),20543.16,,
CP1020 MacDonald Street Bollards Talis Job Order,DO-F165-21001112,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,7735.48,0,0,7735.48,09/16/2020 00:00:00,08/20/2020 00:00:00,15,16,AZ,MA-F165-19003186R1,"Macdonald Street Bollards - FUNDING ONLY, MacDonald Street Bollards (M99-2020-013)",Construction,Job Order Contracting (JOC),0,,
CP0551A Mesa Convention Center Restroom Renovation Bldg A - Talis Construction,DO-F165-16004959,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,32509.23,0,0,32509.23,05/11/2015 00:00:00,,30,0,AZ,MA-F165-15000199R1,Convention Center Bathroom A Renovation,Construction,Job Order Contracting (JOC),32509.23,,
"LF0351 Stapley Aquatic Complex Renovations Adaptive Architects, Inc. Project Order",DO-F165-20007519,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,79190,0,0,79190,04/09/2020 00:00:00,04/09/2020 00:00:00,0,0,AZ,MA-F165-19000167R1,"Stapley Aquatic Complex Renovations, Stapley Pool Re-Decking and Gutter Replacements - FUNDING ONLY",Professional Service,NA,78420,,
On-Call Master W/WW Plant Services - Black & Veatch,MA-F165-21000088R2,Approved,Design Professional Master Contract,CNV596655,MA,102 - Design,St. Louis,F165,1000000,0,0,1000000,10/15/2022 00:00:00,10/15/2022 00:00:00,365,366,MO,,,Professional Service,NA,0,,
Master On-Call RENEWAL: Mechanical Engineering - M3,MA-F165-15000161R1,Closed,Design Professional Master Contract,VS0000005431,MA,102 - Design,Tucson,F165,1000000,0,0,1000000,10/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
JOC-G14 General Construction Master Agreement Caliente Construction,MA-F165-17000194,Approved,Job Order Master,VS0000000709,MA,104 - Construction,Tempe,F165,8000000,0,76686.6,7923313.4,11/20/2016 00:00:00,11/20/2016 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
C03080 Desert Well 18 Equipping Garney,CT-F165-16000120,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV390275,CT,104 - Construction,Kansas City,F165,1110928.34,0,0,1110928.34,05/17/2016 00:00:00,05/09/2016 00:00:00,240,256,MO,,Desert Well 18 Equip 2014,Construction,Design Bid Build (DBB),0,,
CP0972 55N & MCP Downtown Parking and Lighting Talis Construction Job Order,DO-F165-22000302,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,740456.1,0,0,740456.1,07/11/2022 00:00:00,07/07/2022 00:00:00,180,181,AZ,MA-F165-22000302,"Downtown Parking and Lighting Improvements - FUNDING ONLY, Downtown Parking and Lighting Improvements (55N) - FUNDING ONLY, Downtown Parking and Lighting Improvements (MCP) - FUNDING ONLY, Downtown Parking and Solar Improvements",Construction,Job Order Contracting (JOC),0,,
